Z1 , Z2
8.07+2.49i,0.73+6.58i
 9.30+2.72i,5.44+8.78i
 9.23+7.09i,4.40+1.65i
 4.92+0.42i,9.87+5.03i
 3.27+7.29i,8.40+6.12i
 3.03+1.69i,7.09+1.57i
 5.60+9.33i,0.99+2.78i
 8.16+3.35i,0.97+8.26i
 5.12+2.67i,8.10+6.33i
 9.79+1.49i,5.79+8.21i
 9.67+6.72i,3.93+3.36i
 4.85+7.45i,2.28+0.91i
 1.94+3.57i,0.01+1.53i
 7.08+9.44i,6.68+4.90i
 1.24+1.96i,5.30+9.03i
 7.22+6.66i,5.49+0.24i
 8.01+8.53i,9.77+4.08i
 2.28+9.33i,2.98+9.81i
 6.35+0.13i,8.65+8.14i
 0.63+5.36i,4.25+6.69i
 1.15+0.94i,6.29+5.01i
 5.17+1.95i,1.05+4.04i
 4.51+2.98i,1.88+1.23i
 5.05+8.82i,7.52+5.66i
 7.16+3.37i,4.38+1.44i
 5.01+8.97i,8.71+8.28i
 1.37+3.58i,1.77+3.97i
 2.94+9.04i,6.09+2.31i
 7.45+1.75i,6.35+2.98i
 1.42+3.99i,9.68+4.12i
 2.60+5.57i,5.94+0.08i
 3.95+9.68i,1.13+5.30i
 0.06+9.62i,9.42+3.65i
 0.82+8.52i,7.67+8.21i
 6.95+7.12i,6.71+9.01i
 5.90+8.31i,7.38+0.57i
 6.16+7.90i,6.40+6.79i
 3.35+0.06i,9.72+0.98i
 0.95+3.19i,4.54+2.23i
 2.89+7.60i,9.05+1.26i
 1.23+5.06i,8.13+7.70i
 2.38+0.94i,2.20+8.44i
 3.66+5.34i,2.26+3.94i
 3.63+7.38i,8.44+5.90i
 5.50+1.59i,6.23+9.47i
 3.85+2.17i,2.72+5.39i
 2.47+3.85i,4.96+8.85i
 6.23+4.20i,1.44+9.68i
 7.35+9.15i,6.25+5.34i
 0.42+0.11i,6.79+1.52i
 2.44+2.95i,8.18+3.96i
 6.92+8.15i,9.91+0.33i
 6.69+3.97i,5.53+5.47i
 8.25+2.10i,6.62+2.11i
 8.08+3.77i,7.61+6.25i
 3.35+8.68i,9.95+7.76i
 7.67+4.39i,8.74+3.31i
 5.56+3.01i,8.72+5.60i
 0.94+9.84i,7.55+7.89i
 4.07+0.15i,1.93+7.69i
 6.80+4.55i,8.55+5.06i
 9.63+5.02i,6.76+1.08i
 2.49+3.31i,8.44+6.38i
 8.08+9.97i,6.51+8.49i
 2.03+7.31i,5.31+0.14i
 4.19+7.75i,0.09+1.80i
 9.29+2.23i,0.54+2.60i
 7.37+5.45i,3.17+5.25i
 2.00+2.56i,5.64+5.97i
 6.48+7.04i,5.50+1.50i
 9.76+4.12i,5.54+7.97i
 5.04+3.81i,7.48+0.65i
 3.78+6.99i,2.09+1.29i
 5.53+4.83i,4.47+6.07i
 7.73+3.22i,3.05+1.76i
 0.53+2.24i,6.30+3.66i
 4.00+4.44i,3.70+2.85i
 0.16+8.98i,1.55+1.33i
 5.57+5.76i,1.78+2.66i
 3.57+7.11i,8.78+6.14i
 8.19+7.37i,1.33+5.91i
 7.20+7.62i,6.33+1.97i
 0.31+5.88i,5.89+8.73i
 8.77+3.04i,3.58+2.00i
 2.54+9.60i,9.15+9.47i
 4.80+7.30i,9.55+5.46i
 1.07+2.38i,0.00+9.26i
 0.35+8.57i,1.13+1.14i
 5.93+3.60i,3.54+4.18i
 3.57+5.85i,7.29+0.15i
 5.63+1.02i,9.17+6.43i
 4.19+9.67i,7.47+2.69i
 3.95+3.03i,4.73+1.03i
 7.48+3.85i,6.58+4.59i
 4.06+9.30i,8.24+1.32i
 9.73+6.03i,8.97+9.20i
 9.50+2.31i,4.80+2.03i
 9.00+5.20i,5.33+2.58i
 0.03+6.76i,9.50+9.34i
 7.80+8.79i,8.32+5.74i
 5.49+5.42i,2.49+7.71i
 3.10+8.79i,9.83+9.70i
 0.40+7.23i,6.50+9.71i
 2.29+3.18i,7.46+2.99i
 2.30+6.21i,7.76+1.24i
 2.44+9.58i,6.96+7.71i
 0.64+5.60i,5.98+7.51i
 9.40+5.03i,5.51+8.01i
 2.05+0.80i,4.18+2.74i
 6.49+4.13i,3.20+0.25i
 0.12+7.83i,7.88+1.17i
 0.08+5.50i,3.24+1.95i
 2.57+5.11i,6.90+6.66i
 4.10+5.93i,5.53+5.65i
 9.60+7.42i,4.03+3.52i
 3.07+1.41i,9.10+2.00i
 7.99+1.27i,1.71+7.87i
 4.14+6.25i,6.41+5.17i
 3.48+8.42i,3.15+9.74i
 4.45+3.73i,2.20+9.11i
